gil,type,command,cycles,instructions,task_clock,time_elapsed,user_time,sys_time
true,multiprocessing,map.py,163164252590,245014116585,64577.82,7.677008635,64.324090000,0.252231000
true,multiprocessing,map.py,166085961525,244783758821,61304.82,7.411158720,61.178298000,0.129660000
true,multithreading,executor.py,82374707670,241697774916,20066.73,18.476680329,19.746827000,0.586539000
true,multithreading,executor.py,82189486188,241682210523,19922.80,18.482966880,19.542703000,0.663189000
true,multithreading,executor.py,82621284065,241768686441,20183.38,18.423883832,19.765164000,0.690246000
true,multithreading,executor.py,82530576068,241731437327,19888.96,18.405607659,19.456495000,0.708289000
true,multithreading,executor.py,82811998810,241775740991,20252.12,18.568363563,19.953994000,0.577586000
true,multithreading,executor.py,83504351796,241894126146,20135.43,18.610288178,19.851301000,0.560710000
true,multithreading,executor.py,85573741410,241670961654,21839.45,20.155030030,21.396674000,0.766867000
true,multithreading,executor.py,84143564492,241866847631,21046.72,19.309988529,20.715385000,0.631367000
true,multithreading,executor.py,82188067929,241832648145,19821.26,18.341555152,19.507161000,0.590150000
true,multithreading,executor.py,82687743423,241674482733,20137.77,18.423568543,19.945861000,0.473328000
true,multithreading,executor.py,82890153777,241791814693,20333.47,18.841281896,19.975733000,0.624241000
true,multithreading,executor.py,83664028484,241692533060,20889.09,19.174443868,20.514421000,0.672959000
true,multithreading,executor.py,83435090610,241785033125,20508.23,18.914101531,20.134412000,0.658198000
true,multithreading,executor.py,82460648380,241654619219,20028.08,18.493358874,19.717080000,0.581815000
true,multithreading,executor.py,82518168544,241706420582,20002.52,18.321182250,19.637273000,0.640110000
true,multithreading,executor.py,83616037340,241858983935,20721.57,19.204765119,20.280567000,0.738837000
true,multithreading,executor.py,82302629406,241834751914,19779.61,18.111378148,19.476338000,0.576996000
true,multithreading,executor.py,82610566624,241664691481,20062.94,18.546310534,19.790065000,0.550023000
true,multithreading,executor.py,84703588230,241591078667,21331.95,19.605583311,21.006469000,0.617837000
true,multithreading,executor.py,82839860462,241804505731,20130.15,18.598185862,19.771961000,0.635373000
true,multithreading,executor.py,82689748580,241692824193,20253.02,19.031015662,19.965664000,0.573176000
true,multithreading,executor.py,84592259190,241750707286,21130.79,19.415550699,20.888302000,0.545386000
true,multithreading,executor.py,83885554746,241883127246,20598.50,19.267792590,20.199854000,0.678986000
true,multithreading,executor.py,83642558498,241899547833,20579.39,18.805117691,20.187635000,0.672559000
true,multithreading,executor.py,82063218302,241724649640,19790.93,18.081002170,19.527261000,0.523636000
true,multithreading,executor.py,82752630971,241611440696,20211.31,18.737160920,19.900897000,0.593573000
true,multithreading,executor.py,82698737961,241649457554,20037.03,18.302738763,19.646071000,0.674076000
true,multithreading,executor.py,82778073264,241656824940,19993.65,18.530640997,19.628326000,0.631101000
true,multithreading,executor.py,82790585917,241808218092,20118.20,18.358902760,19.853978000,0.537483000
true,multithreading,executor.py,82586477575,241807913116,19791.52,18.307412318,19.425466000,0.643582000
false,multithreading,executor.py,166911840905,241850712294,65984.59,7.713387013,65.908950000,0.032703000
false,multithreading,executor.py,167074678503,241721495017,62250.71,7.343242067,62.168798000,0.043520000
false,multithreading,executor.py,167504891751,241776842132,60748.09,7.357631121,60.673719000,0.042119000
false,multithreading,executor.py,171908749849,241717229321,62063.89,7.353933706,61.988873000,0.032415000
false,multithreading,executor.py,168676755303,241648139675,62023.11,7.287382764,61.949096000,0.032731000
false,multithreading,executor.py,167095732432,241746678846,66888.59,7.870541012,66.827422000,0.021814000
false,multithreading,executor.py,168737788150,241917045458,61582.77,7.358188657,61.541097000,0.010730000
false,multithreading,executor.py,168085746453,241623914239,61934.28,7.412215431,61.864643000,0.021536000
false,multithreading,executor.py,172561661802,241770839315,67849.75,7.981345487,67.693707000,0.109007000
false,multithreading,executor.py,172288048805,242033031112,65773.31,7.870704160,65.691809000,0.042782000
false,multithreading,executor.py,168604487986,241644915311,62130.58,7.498523483,62.049072000,0.031717000
false,multithreading,executor.py,167695934832,241619826467,63495.78,7.506347806,63.406621000,0.032560000
false,multithreading,executor.py,171952065059,241711634806,65327.49,7.664658201,65.236672000,0.043600000
false,multithreading,executor.py,167616943439,241844965441,67280.97,7.897578372,67.208218000,0.032699000
false,multithreading,executor.py,166959830869,241709465630,62146.04,7.291522927,62.078554000,0.032707000
false,multithreading,executor.py,171473356999,241661064194,64855.00,7.767302049,64.798977000,0.010715000
false,multithreading,executor.py,166212867720,242045020575,73069.06,8.614444608,72.776251000,0.239395000
false,multithreading,executor.py,166311204774,241810651971,69987.03,8.271082665,69.684020000,0.250701000
false,multithreading,executor.py,166757498072,241651168759,63214.00,7.558572293,63.110744000,0.064519000
false,multithreading,executor.py,171700028258,241634941050,64464.76,7.577418700,64.390958000,0.021786000
false,multithreading,executor.py,168455222665,241860496184,69298.60,8.131664220,69.221023000,0.032738000
false,multithreading,executor.py,167076117565,241678026843,63036.70,7.436750951,62.971023000,0.032717000
false,multithreading,executor.py,168437062924,241761564781,63107.03,7.428677329,63.002687000,0.076208000
false,multithreading,executor.py,167495141251,241890603100,62598.12,7.809398733,62.529057000,0.041191000
false,multithreading,executor.py,166875136524,241752015277,70078.61,8.219260326,70.017830000,0.021785000
false,multithreading,executor.py,167096119300,241603523063,62167.11,7.311995128,62.097437000,0.021811000
false,multithreading,executor.py,168479039073,241685110370,63040.15,7.379668540,62.966749000,0.032727000
false,multithreading,executor.py,167730351904,241762733629,67359.51,8.118585885,67.264233000,0.042258000
false,multithreading,executor.py,167866039774,241775341412,73930.97,8.693354644,73.711960000,0.174054000
false,multithreading,executor.py,167027047456,241769648011,61823.94,7.276293152,61.754672000,0.032714000
true,multithreading,workers.py,340166528,837624264,123.18,0.114403775,0.111146000,0.011114000
true,multithreading,workers.py,479199326,1267471437,135.81,0.125127187,0.103616000,0.031085000
true,multithreading,workers.py,465680894,1242917796,126.69,0.117343688,0.106912000,0.019438000
true,multithreading,workers.py,622203739,1706778322,160.97,0.147706699,0.141475000,0.020210000
true,multithreading,workers.py,602340013,1631893258,156.73,0.143456245,0.136590000,0.021013000
true,multithreading,workers.py,452652979,1164786952,118.36,0.109500356,0.107281000,0.010728000
true,multithreading,workers.py,668932591,1790905920,172.41,0.158797538,0.161939000,0.010795000
